COM,P13_POP,C13_POP15P_CS3,pc_qualified_professionals
75101,17021,5251,0.3085012631455261
75102,21741,7227,0.3324134124465296
75103,35664,11611,0.32556639748766264
75104,27335,7875,0.2880921895006402
75105,60276,17229,0.28583515827194905
75106,43480,11461,0.26359245630174793
75107,56325,15141,0.26881491344873504
75108,39177,10536,0.2689333027031166
75109,59427,18475,0.3108856243794908
75110,92497,25020,0.2704952593057072
75111,153463,42969,0.2799958296136528
75112,144718,37054,0.2560427866609544
75113,183709,38105,0.20742043122547071
75114,140801,35094,0.24924538888218123
75115,237123,65153,0.2747645736600836
75116,166552,38590,0.23169940919352514
75117,170076,44757,0.2631588231143724
75118,199517,43237,0.21670835066686048
75119,185954,29745,0.15995891457027006
75120,194772,35077,0.1800926211159715
