IRIS,COM,TYP_IRIS,P13_POP,C13_POP15P_CS3,pc_qualified_professionals,name_arrd
751010101,75101,H,936,332,0.3547008547008547,Paris 01
751010102,75101,A,185,38,0.20540540540540542,Paris 01
751010103,75101,A,358,111,0.3100558659217877,Paris 01
751010104,75101,A,12,8,0.6666666666666666,Paris 01
751010105,75101,D,0,0,0,Paris 01
751010199,75101,D,0,0,0,Paris 01
751010201,75101,H,2350,805,0.3425531914893617,Paris 01
751010202,75101,H,1629,546,0.3351749539594843,Paris 01
751010203,75101,H,2389,749,0.3135203013813311,Paris 01
751010204,75101,H,2348,663,0.2823679727427598,Paris 01
751010205,75101,A,0,0,0,Paris 01
751010206,75101,A,576,171,0.296875,Paris 01
751010301,75101,H,2894,838,0.2895646164478231,Paris 01
751010302,75101,A,97,39,0.4020618556701031,Paris 01
751010303,75101,A,442,128,0.2895927601809955,Paris 01
751010401,75101,H,1322,369,0.27912254160363087,Paris 01
751010402,75101,A,1483,454,0.306136210384356,Paris 01
751020501,75102,A,983,227,0.23092573753814852,Paris 02
751020502,75102,A,311,89,0.2861736334405145,Paris 02
751020503,75102,A,111,40,0.36036036036036034,Paris 02
751020601,75102,H,1716,586,0.3414918414918415,Paris 02
751020602,75102,A,1531,583,0.3807968647942521,Paris 02
751020701,75102,H,1950,696,0.3569230769230769,Paris 02
751020702,75102,H,2031,656,0.3229935992122107,Paris 02
751020703,75102,H,2024,634,0.3132411067193676,Paris 02
751020704,75102,A,745,272,0.3651006711409396,Paris 02
751020801,75102,H,2476,797,0.3218901453957997,Paris 02
751020802,75102,H,1567,574,0.36630504148053605,Paris 02
751020803,75102,H,1820,627,0.3445054945054945,Paris 02
751020804,75102,H,2139,696,0.32538569424964936,Paris 02
751020805,75102,H,2337,750,0.3209242618741977,Paris 02
751030901,75103,H,1862,575,0.3088077336197637,Paris 03
751030902,75103,H,2165,851,0.3930715935334873,Paris 03
751030903,75103,H,1945,705,0.36246786632390743,Paris 03
751030904,75103,H,2036,659,0.3236738703339882,Paris 03
751030905,75103,H,1793,448,0.2498605688789738,Paris 03
751031001,75103,H,2321,693,0.2985781990521327,Paris 03
751031002,75103,H,2193,680,0.31007751937984496,Paris 03
751031003,75103,H,2677,942,0.3518864400448263,Paris 03
751031004,75103,H,2124,607,0.2857815442561205,Paris 03
751031101,75103,H,2281,773,0.33888645330995176,Paris 03
751031102,75103,H,1790,545,0.30446927374301674,Paris 03
751031103,75103,H,1676,493,0.29415274463007157,Paris 03
751031104,75103,H,2852,1003,0.35168302945301544,Paris 03
751031201,75103,H,2009,735,0.36585365853658536,Paris 03
751031202,75103,H,1861,610,0.3277807630306287,Paris 03
751031203,75103,H,2025,525,0.25925925925925924,Paris 03
751031204,75103,H,2054,767,0.37341772151898733,Paris 03
751041301,75104,H,1742,506,0.2904707233065442,Paris 04
751041302,75104,H,2156,777,0.36038961038961037,Paris 04
751041303,75104,H,1757,533,0.3033579965850882,Paris 04
751041304,75104,A,296,89,0.30067567567567566,Paris 04
751041305,75104,A,0,0,0,Paris 04
751041399,75104,D,0,0,0,Paris 04
751041401,75104,H,3274,744,0.2272449602932193,Paris 04
751041402,75104,H,1944,610,0.31378600823045266,Paris 04
751041403,75104,H,2613,786,0.3008036739380023,Paris 04
751041404,75104,H,1857,625,0.33656435110393107,Paris 04
751041499,75104,D,0,0,0,Paris 04
751041501,75104,H,3109,689,0.2216146670955291,Paris 04
751041502,75104,H,1566,486,0.3103448275862069,Paris 04
751041503,75104,H,1889,573,0.3033350979354156,Paris 04
751041504,75104,H,1911,586,0.30664573521716376,Paris 04
751041588,75104,D,0,0,0,Paris 04
751041599,75104,D,0,0,0,Paris 04
751041601,75104,H,2426,691,0.2848309975267931,Paris 04
751041602,75104,H,703,158,0.22475106685633,Paris 04
751041603,75104,A,92,22,0.2391304347826087,Paris 04
751041699,75104,D,0,0,0,Paris 04
751051701,75105,H,2281,720,0.3156510302498904,Paris 05
751051702,75105,H,1565,523,0.334185303514377,Paris 05
